aggregates	-20819.43	-21096.35	3021.19	-5846.5	2889.53	6558.36	2239.12	1488.12	-841.61	-3192.75	-1614.75	905.55	1213.59	152.35	-1043.55	-241.15	-1389.82	-619.16	4008.29	1322.76	1739.14	-1574.12	924.39	-1242.64	279.13	5091.47	637.99	-1325.86	2956.36	-97.5	1465.22	-1629.89	1086.04	-1454.98
aggregation	-20985.32	-25528.4	6504.94	-6009.94	4512.61	4946.75	3317.81	1233.21	204.63	1426.35	146.33	-507.04	-948.3	-1129.05	-697.71	1205.74	942.08	446.23	-798.54	2001.66	-1113.39	-2857.2	918.22	-2092.88	74.86	684.91	2038.87	-432.71	2529.77	-2584.44	1063.45	-1630.16	1867.25	-241.78
aging	-635.47	-19144.46	14260.06	-1234.07	-790.77	4158.58	-1255.17	411.89	-96.11	-486.04	3051.88	-712.45	-3039.48	539.48	410.49	-1215.66	-1194.97	1539.76	-296.24	319.3	-1044.43	297.19	260.18	817.04	288.15	-181.97	167.68	-42.32	240.37	314.8	113.84	105.89	143.14	264.93
aharonov	-11927.06	-23586.1	9283.48	-822.26	2708.55	832.21	415.93	1810.33	3167.74	349.66	774.19	-1857.72	-648.8	2029.16	-1582.16	-1184.33	2175.49	159.39	-2089.22	2052	1190.25	-677.91	798.25	866.48	1691.88	623.36	-463.82	242.83	-774.14	287.45	351	-526.82	943.66	-1066.38
air	-5742.35	-17430.03	15447.87	-1822.66	2075.22	2447.23	903.4	1105.19	-877.55	1390.96	-1427.74	-926.27	219.05	-1973.33	715.28	936.24	-1152.06	-44.72	-9.43	780.24	2079.5	-2046.9	-253.33	-213.8	-58.21	858.62	-951.83	-389.13	-194.37	-540.71	-99.9	106.81	-604.61	1303.68
al	-25877.67	-29202.57	7942.79	-1187.71	4135.53	2536.35	201.59	-1499.63	-753.52	834.11	435.68	-63.4	-40.35	527.25	1064.06	-411.72	1296.74	363.2	434.07	-358.2	666.58	729.92	228.46	468.72	-1470.54	-230.44	576.74	108.89	-1088.58	-227.43	81.89	-224.55	354.88	-282.21
alas	-19225.68	-15083.46	-4382.05	2589.43	6423.62	419.08	-1096.19	-2945.27	355.72	437.63	-864.92	452.86	-782.8	-63.92	1479.85	235.75	1582.1	670.49	-273.14	2124.36	1420.94	537.43	-1064	1321.75	335.65	-70.03	1013.75	-1201.94	414.73	220.52	339.85	-116.93	283.47	742.85
alfv	-17505.94	-20927	16387.51	-434.82	4525.06	-3993.65	1278.36	3210.85	-311.27	-614.56	1298.08	525.13	643.6	1711.02	1421.17	415.88	2068.27	1482.23	414.38	530.48	-1081.63	552.72	-455.97	985.53	102.66	2868.95	3203.66	165.9	3377.34	-1233.29	-768.06	-79.95	-473.47	-108.57
algebra	-7310.18	5110.6	8402.01	6237.89	5474.36	4345.2	3646.22	2483.39	-141.62	1055.42	687.28	-1295.44	315.15	88.19	1024.21	21.43	449.19	1260.07	-370.37	-724.05	322.36	1173.81	1122.87	1161.51	-656.86	2244.53	-1538.97	-461.83	287.53	-1465.22	282.53	2297.24	-346.39	148.96
algebraic	-19411.13	-17365.8	9072.57	-305.68	4302.88	2300.27	-985.75	1345.94	1142.23	1455.52	-1373.18	-830.6	4099.21	-1143.48	-591.33	419.78	1409.58	-347.7	3596.66	1.83	1775.16	-2625.48	3304.6	-1177.57	-3429.43	-449.61	-1219.54	-569.62	-2712.73	-228.23	783.86	923.12	137.23	-1705.72
algorithm	-4771.92	-23923.66	14907.04	-1373.43	230.03	2554.4	1355.25	-290.19	-324.09	1604.54	846.99	249.25	-1182.1	-1616.19	-58.77	-103.91	35.63	-36.89	-987.15	-418.09	-32.55	398.87	33.57	1853.49	-55.13	-449.95	183.09	232.67	-102.17	382.39	198.05	190.78	163.77	77.36
algorithms	-4483.7	-20360.53	11787.69	-659.2	1103.8	3230.29	-408.94	-2408.33	3183.97	1501.54	2225.21	-2237.08	1645.17	-819.68	889.15	-1868.99	192.61	956.85	-162.81	191.91	875.69	-1598.94	773.78	546.6	-1532.48	1004.33	26.07	-470.16	726.88	613.56	-151.13	-10.11	80.61	-324.37
aligned	-11111.97	-20479.53	11434.33	355.01	2262.66	-3414.08	4271.59	814.68	-43.26	-396.64	3095.23	1456.22	2513.19	-111.3	-1379.09	1282.68	960.76	1858.93	999.04	-537.79	936.37	-26	847.41	311.54	429.52	-584.89	513	-449.2	1520.49	70.09	542.77	-1444.41	878.72	861.84
alignment	-11096.93	-20605.27	14679.12	-3225.27	1991.23	-572.19	1909.77	-504.04	-1398.8	-606.12	-114.03	633.89	1475.1	-1943.35	1515.16	397.58	173.24	1967.8	-981.11	-1045.25	1326.55	1209.45	1282.43	-2436.07	868.75	80.3	1365.58	185.24	-82.6	-199.28	74.71	-997.18	502	503.76
alkali	-28463.25	-10628.22	8023.3	3416.88	6094.97	2243.31	2074.44	3154.51	2571.3	-22.61	717.87	319.25	-1149.48	928.77	-163.87	-2785.57	-199.8	-1185.09	3329.49	-259.48	-161.39	399.62	605.37	522.24	2344.7	1137.33	3374.05	-2269.75	697.5	-362.55	310.28	-468.53	-361.03	972.05
alkaline	-15073.82	-12000.03	13659.93	-3688.32	2611.96	2401.87	494.34	907.09	-933.38	1486.29	4240.41	-1030.03	402.51	263.57	1666.54	-2553.6	2455.07	4129.04	1840.37	-1372.4	2539.98	-856.7	1873.52	2269	3523.79	475.14	-1186.18	-1868.92	2525.5	1674.25	-2394.61	749.53	-1081.84	693.18
all	-3053.61	-16876.53	13785.76	-4304.92	2997.81	-935.1	1384.7	894.03	661.69	26.59	82.49	1107.07	1043.96	-1426.4	1264.83	-1763.92	-163.9	146.15	-577.07	257.1	144.72	493.42	-430.42	61.77	-772.02	-730.89	244.17	1161.04	209.59	-7.76	755.42	807.28	500.37	-200.3
alloy	-23008.43	-28100.08	13582.47	-2402.95	129.52	1999.17	2282.52	213.03	-836.58	-2249.89	1188.03	-1118.48	2224.76	989.49	-986.83	-1733.01	2478.6	1564.77	792.95	376.37	-1319.13	-1026.04	-383.04	2048.65	-340.17	-2122.17	916.73	2549.14	-167.87	380.29	1848.32	-628.58	-128.73	-845.23
alloying	-9632.56	-19810.71	10359.44	2409.84	585.91	2494.67	-2014.95	1531.14	1430.7	479.31	-1797.53	-1075.86	-442.21	372.15	-2306.25	-247.8	1260.75	-134.25	-282.8	-2449.63	2746.25	-162.25	-290.91	1179.4	608.99	1720.53	-1524.42	-79.42	837.42	1220.6	490.14	-1928.05	-16.33	-353.75
alloys	-27200.71	-12250.51	14778.46	-1494.66	5118.56	3863.34	238.16	224.46	-1131.72	-1350.18	-334.02	200.05	571.51	510.57	-28.21	-73.2	-52.94	-1495.18	404.14	3953.82	-1257.97	-1450.88	837.29	-276.15	-1169.34	-1962.69	121.25	-991.98	-393.12	-2995.23	1439.38	1869	1092.33	-1475.81
aln	-3032.36	-21815.03	13072.72	1783.16	-1534.1	258.88	1660.79	2576.31	-3233.71	3939.16	-332.44	2051.62	-1226.35	-3836.19	1060	-2950.64	-2679.62	-1144.4	-1227.27	300.08	-697.31	431.47	237.71	841.33	-79.78	310.9	367.12	174.21	439.29	1259.63	185.98	26.55	-71.19	305.23
alpha	-26495.63	6505.57	14714.62	1265.33	3631.59	2350.78	759.81	6556.98	3063.8	-1130.33	1460.46	-696.61	64.73	755.79	1646.42	2715.96	687.94	-643.67	-810.69	-300.31	1691.61	-390.05	-866.62	1298.42	-3581.93	1902.7	2189.04	4089.74	1672.72	1200.75	960.69	1151.71	-1042.82	-546.9
alphen	-11554.61	-2540.14	13416.53	4242.13	2245.25	3674.31	2554.61	-235.69	2189.63	-1928.15	-611.85	1232.57	1240.8	1873.95	1108.41	185.64	-62.92	1787.72	-822.38	-2454.27	116.75	-2170.2	-798.79	1501.83	-2605.93	996.85	2965.87	1597.19	1245.26	1006.49	1271.67	-3163	-361.87	650.61
alternating	-6855.7	-22219.82	13638.03	-1114.07	1130.85	2852.19	-1355.51	1756.33	-1217.78	62.36	150.1	870.96	-1797.53	1595.71	1889.05	-332.51	31.26	2322.58	-248.53	1288.55	-2118.57	-1772.84	1401.59	1806.78	-2323.2	34.07	719.55	-18.57	-575.4	-486.9	950.04	-19.92	975.63	886.77
alternative	-11287.47	-17386.14	11309.9	-2482.7	1123.71	-767.45	-440.99	-1079.6	-1756.7	1386.84	2922.08	-2209.21	779	-628.46	-30.66	872.35	-393.34	1695.24	1050.42	-915.93	2375.71	-430.26	98.62	-2688.57	-1505.25	1382.2	680.6	-71.8	-13.41	-985	304.05	98.65	342.9	249.04
aluminum	-19396.61	-3127.14	18561.99	158.52	2882.15	2755.84	2083	1821.34	3002.78	1426.72	-2664.54	669.93	3164.84	2512.75	1097.76	-1624.96	295	288.66	-665.08	2891.14	2035.94	-2021.86	-257.9	1568.97	-1552.92	-2835.53	-1523.9	719.56	-1172.2	-1179.62	-283.18	-2743.98	-710.72	2027.69
amorphization	-16023.29	-24189.34	5668.06	-423.39	5305.71	1135.65	-103.55	1546.57	2094.87	-1678.27	1317.58	1078.22	-560.63	3248.45	-258.95	-889.8	2696.95	-2484.76	-3395.02	1638.23	862.45	-1541.6	-743.02	449.21	783.44	1555.1	-856.97	-1076.89	1265.26	551.76	2157.62	-538.37	-874.03	-1938.35
amorphous	-31377.49	-21069.07	9577.24	-8014.03	-1130.21	704.78	1606.9	-30.5	159.32	1043.48	-157.06	251.95	156.7	-443.16	66.62	-450.14	-118.6	275.84	-308.13	115.18	1337.06	1160.42	-2139.28	779.18	-669.68	-1709.16	-575.66	279.42	238.15	1080.64	269.74	-205.72	631.51	-152.37
amplification	-14592.87	-23660.55	12114.95	2719.17	3774.43	502.75	-575.82	1817.89	-1038.4	231.72	-1514.14	-1098.99	-807.7	-369.57	482.7	441.43	923.12	194.03	939.56	-939.13	-592.76	-37.81	760.09	1338.33	-628.67	1159.03	1822.07	-326.66	-437.3	1979.94	-42.25	3.22	-611.73	-460.33
amplifier	-16561.11	-18337.21	5297.86	561.56	6633.02	-3905.3	380.3	565.29	-1225.94	1222.8	3397.08	-4202.18	-185.01	1727.06	448.3	-930.09	513.64	-433.41	-1668.53	-1359.46	-2032.08	984.71	55.8	819.86	894.58	-541.48	628.16	-1167.2	138.57	-1241.66	1204.76	1158.38	-1097.9	165.5
amplitude	-18620.81	-16578.73	15125.6	3218.5	4799.37	2694.71	1848.21	821.11	-983.48	1951.19	2691.39	5256.85	1219.34	1275.04	-1845.63	-921.17	-711.81	-382.34	1631.55	966.55	-626.51	-2422.91	792.66	-1358.09	836.61	-2724.8	-2464.29	-245.41	1296.96	-191.08	322.76	-942.02	409.91	-1290.84
amplitudes	-17585.04	-2893.85	20032.23	6361.73	6968.82	3851.14	2423.14	1302.02	-3091.53	-1775.16	-1448.13	-247.72	3440.49	1474.3	46.19	-428.86	3118.08	-2418.27	1786.45	2764.62	-924.49	-1640.34	1342.99	-1302.59	817.49	-2160.45	-1894.13	420.7	541.42	-1950.69	1255.59	2039.85	654.55	-123.39
an	-10924.53	-26100.88	14936.48	-2149.48	2413.82	280.41	1640.07	846.98	-439.82	15.34	-127.25	-235.66	-293.5	-56.69	346.13	-528.04	361.6	492.96	-181.53	351.05	307.88	-181.73	268.86	252.07	94.37	342.05	524.69	82.28	-170.52	145.38	232.79	-147.43	-162.4	63.73
analog	-19062.01	-2216.97	17591.17	4291.74	4769.73	3802.35	151.1	1763.27	-768.93	123.36	1196.65	-2157.04	-1770.7	-863.83	-135.62	1176.59	-2515.22	52.62	732.5	2180.52	-2381.33	655.12	771.9	-1468.53	1056.84	-3015.08	-3004.93	1416.92	-596.47	-1846.79	149.79	1350.15	496.45	-1078.1
analyses	-20236.06	-19244.04	14925.95	126.33	1677.09	-2768.78	-1759.56	1449.89	3781.12	-2263	2861.5	-2872.21	-3150.77	222.18	1885.36	-2030.5	2088.75	-654.96	-135.82	536.04	-1042.33	3683.17	-3637.68	685.09	3182.88	-2523.74	-1539.57	5210.67	1833.83	2251.87	2242.62	-1884.72	-753.39	5565.19
analysis	-12122.2	-25575.57	14092.8	-1350.18	3278.82	99.97	505.67	1250.19	-128.72	272.31	326.35	-363.23	916.41	389.31	-309.25	-1182.96	379.73	-290.22	-436.64	293.52	-717.07	-959.36	-77.4	-7.7	124.68	745.08	163.59	458.41	124.16	423.29	941.45	-295.06	-132.63	-158.2
analytic	-19578.27	-22544.32	11688.17	-3565.09	1016.67	838.93	3150.47	804.87	677.24	453.5	-2010.91	1211.4	-3326.55	-1178.37	1374.5	-1823.92	-2139.56	-677.98	-1297.54	-744.78	3.94	-467.44	-505.72	1956.73	-725.45	-866.12	65.45	1421.87	-606.68	-168.16	-1097.15	318.11	-1186.55	-1017.76
analytical	-8827.96	-21429.02	11900.72	-2272.6	2459.78	7.55	2575.3	600.29	679.48	597.71	-2166.23	-1033.2	-102.74	-1759.91	-308.77	1003.69	797.2	177.1	548.7	-725.43	-177.75	585.81	236.5	482.1	254.18	6.39	52.18	558.29	-974.48	54.28	650.99	291.14	118.37	-195.84
analyzing	-21318.43	-10953.92	5549.7	-6684.21	-2693.41	-3170.21	1164.97	2466.36	-320.68	1069.96	-602.98	-1435.77	408.7	-1034	1986.65	711.5	39.46	2049.63	21.43	-368.91	1449.18	-1672.68	-1136.2	-2211.54	-452.64	952.07	-1426.19	1960.45	-1665.63	2347.2	-1974.98	1544.43	-2230.35	1946.68
anchoring	-6816.53	-21746.89	9974.3	2268.41	1062.5	403.99	519.36	1875.75	3028.83	528.97	1320.8	2584.15	-69.85	-2977.14	1483.51	-3158.35	1769.91	599.86	2462.07	678.15	2401.45	118.05	-442.95	719.74	1649.97	480.94	-488.55	551.25	327.43	313.92	364.67	-237.47	502.6	-434.51
anderson	-16414.34	-22660.61	11767.61	-3731.5	2187.57	-783.78	3840.27	1100.46	736.47	707.89	998.56	1133.49	451.29	-2450.28	-317.45	608.65	2060.76	-546.75	606.35	-585.56	1721.05	2324.16	-218	3347.72	1066.71	-983.94	-282.97	1764.98	-1249.41	1262.72	-600.45	1238.67	441.66	-700.89
andreev	-2083.09	-19946.57	12964.76	406.45	66.17	333.72	2181.43	481.46	497.16	-738.74	482.45	1622.41	2912.92	-931.29	1478.81	-591.23	2576.66	178.3	81.31	1144.82	-111.5	462.3	-775.01	-77.28	452.54	32.65	766.81	510.48	-329.52	-79.48	481.25	-103.57	88.16	-299.37
angle	-14960.37	-21984.8	14171.35	-4921.35	1245.88	-408.89	3410.43	273.45	-1849.25	446.4	-1122.7	80.18	-641.67	45.41	98.27	417.89	-549.58	398	-929.2	-893.67	865.57	1333.45	-651.45	1822.77	637.19	-132.69	-847.25	431.19	-1001.93	-573.98	1899.66	332.76	763.65	-914.49
