disks	000001456	003
dislocation	100111355	002
dislocations	110212455	012
disorder	000123668	013
disordered	011245787	024
dispersion	121013346	002
dispersions	000111534	002
dispersive	000222536	012
displacement	111133245	012
dissipation	000113457	013
dissipative	000023447	013
dissociation	001124667	013
dissociative	212013756	113
distance	022122568	013
distorted	123442223	121
distortion	111233547	013
distortions	011123565	013
distributed	000012356	002
distribution	010123567	013
distributions	022334667	013
divergence	433144457	213
dna	000001147	002
do	011213476	013
does	111214366	013
domain	000013468	013
domains	000012566	003
dominance	432101111	101
dominated	010022357	013
donor	122356444	122
donors	221457246	132
dopant	000122346	012
doped	000024568	013
doping	000013458	013
doppler	124223556	113
dot	000000258	002
dots	000000357	002
double	000024468	013
doublet	001022455	012
doubling	000354443	022
doubly	001235556	023
drag	000001356	002
drell	001101344	002
dressed	000023436	012
drift	132134665	113
driven	000012467	003
driving	000111256	002
drop	001001245	002
droplet	012122347	002
droplets	001013448	013
drops	024131268	113
dual	062112446	112
duality	131101555	103
due	100023467	013
dust	000001364	002
dusty	000001373	002
dy	012123466	013
dye	022265334	022
dynamic	011123578	014
dynamical	000123567	013
dynamics	000013568	013
dyson	211244665	123
e	023255667	123
early	001233556	013
earth	333234357	213
easy	001113556	013
echo	111125546	013
echoes	444424313	221
edge	000125647	013
edges	010013657	013
effect	000023468	013
effective	000234568	013
effects	011135678	014
efficiency	000001247	002
efficient	000001248	002
eigenstates	000222443	012
eigenvalue	021244635	022
eigenvalues	110323434	012
eikonal	063211201	210
einstein	000000378	003
el	110044324	011
elastic	232344357	123
elasticity	000012347	002
electric	100134468	013
electrical	121244467	113
electro	100001345	002
electrodynamics	144112236	212
electromagnetic	131011447	102
electromagnetically	000000247	002
electron	011246668	023
electronic	001245568	023
electrons	221136667	123
electroproduction	163101233	201
electrostatic	011212457	013
electroweak	000126767	013
element	010022346	012
elementary	332223543	112
elements	132344346	122
embedded	000012357	003
emergence	000000116	001
emission	011135667	023
emitted	232144444	112
emitting	000001477	003
empirical	111134365	012
energetic	111123236	012
energetics	000013476	013
energies	122356677	123
energy	011134557	013
engineering	000000136	002
enhanced	000122457	013
enhancement	001123457	013
ensemble	000012357	003
ensembles	000000246	002
entangled	000000168	002
entanglement	000000038	002
entropic	000001457	003
entropy	000012567	013
envelope	001014546	012
environment	000012358	003
environments	000000236	002
epitaxial	000025557	013
epitaxy	000026543	012
epr	034345442	121
equal	541011234	201
equation	001245778	024
equations	001133667	013
equilibration	000026556	013
equilibrium	001224567	013
equivalence	123245657	123
equivalent	232123334	112
er	122334566	123
erratum	002234467	013
error	000000347	002
escape	000023456	013
esr	112252442	112
estimate	123114335	112
estimates	013234455	122
estimation	000001247	002
et	000135677	013
eu	111245555	023
euclidean	003112626	012
europium	623212112	211
ev	225656433	132
evaluation	121355466	023
evanescent	000012456	002
evaporation	002225566	013
even	243235624	122
event	000001356	002
events	001121437	002
evidence	001134677	014
evolution	000013578	013
exact	001246667	023
exactly	001225655	023
example	011233646	013
excess	010012334	012
exchange	121123568	113
excitable	000002567	003
excitation	133456757	123
excitations	001235677	024
excited	122245778	124
exciton	011135758	013
excitonic	011134556	013
excitons	011136765	023
exclusion	000001565	003
exclusive	000122457	013
existence	433144365	223
exotic	010021245	002
expanding	000122345	012
expansion	012255678	123
expansions	152553542	122
experiment	000123447	012
experimental	111123458	013
experiments	011123457	013
explanation	022234435	112
explicit	001111244	002
explosion	000000345	002
exponent	011244764	023
exponential	010243565	013
exponents	011144653	013
expression	021223445	012
extended	002346667	023
extension	120232457	013
external	001124567	013
extra	000010064	002
extraction	001011336	002
extreme	000111336	002
extremely	000124574	013
f	000121225	001
factor	132232457	113
factorization	021011356	002
factors	431022457	113
faddeev	362334343	222
failure	011112357	002
family	001123557	013
fano	000001237	002
far	120357656	033
faraday	211213647	113
fast	012334668	023
fault	000002236	002
fcc	011246765	023
fe	000013446	012
features	011223577	013
feedback	000001367	003
femtosecond	000003567	003
fermi	000012248	002
fermilab	000012643	002
fermion	001255567	023
fermionic	000011138	002
fermions	000123557	013
ferrimagnetic	210012477	003
ferroelectric	000001247	002
ferroelectrics	412113347	112
ferromagnet	000010367	003
ferromagnetic	000001358	003
ferromagnetism	000001257	002
ferromagnets	022232567	013
feshbach	000000027	002
few	000000137	002
feynman	262344443	222
fiber	000001246	002
fibers	000013336	012
fibonacci	000043412	011
fidelity	000000016	001
field	011134678	014
fields	011134668	014
filaments	000000347	002
filled	000012356	003
filling	000012446	002
film	000013568	013
films	000125677	013
filtering	000001146	002
final	221122456	113
fine	013455556	023
finite	000134578	013
first	000012237	002
fission	564523433	322
five	010011246	002
fixed	132222567	113
flat	000122456	013
flavor	000001357	002
flight	021332424	012
flip	132325557	123
flow	000012457	003
flows	000001246	002
fluctuating	000113567	013
fluctuation	011125577	013
fluctuations	000135687	024
fluid	001234578	014
fluids	011134667	013
fluorescence	022335555	123
fluoride	463432442	212
fluorine	132343212	121
flux	000027656	023
fock	132234435	112
focusing	011113447	013
foil	144753244	122
foils	211422443	112
fokker	000253445	022
folding	000003556	003
following	154335544	222
forbidden	363224345	212
force	000012357	003
forced	000022456	013
forces	021123458	013
form	331122457	113
formalism	013345558	023
formation	000123578	013
formed	010022566	003
forming	000001356	003
forms	131114235	112
formula	111214445	012
formulas	333334556	123
formulation	121446567	133
forward	452233746	213
four	001235467	023
fourier	000122446	012
fourth	120163135	022
fr	000145343	022
fractal	000166544	022
fractals	000155322	021
fraction	010112237	002
fractional	000146668	023
fractions	000011136	002
fracture	000002556	003
fragment	001233633	012
fragmentation	011234777	024
fragments	211556343	132
frame	133122347	112
framework	000111237	002
free	001123357	013
freedom	013235558	023
freezing	000134566	013
frenkel	000113633	012
frequencies	121122237	012
frequency	010123568	013
friction	000002447	003
from	000123457	013
front	000013675	003
fronts	000002464	002
frustrated	000003357	003
frustration	000001247	002
full	000001247	002
fullerene	000002456	003
fullerenes	000004445	002
fully	000013546	013
function	021246778	024
functional	000011237	002
functionals	000012336	002
functions	121235776	123
