147.05	3186	4.991	8.067	7.844
148.05	3081	4.998	8.033	7.833
149.05	3172	5.004	8.062	7.824
150.05	3073	5.011	8.03	7.813
151.05	3100	5.018	8.039	7.802
152.05	3058	5.024	8.026	7.793
153.05	2946	5.031	7.988	7.782
154.05	3071	5.037	8.03	7.773
155.05	2969	5.044	7.996	7.762
156.05	2906	5.05	7.975	7.753
157.05	2857	5.057	7.958	7.742
158.05	2802	5.063	7.938	7.732
159.05	2775	5.069	7.928	7.723
160.05	2760	5.075	7.923	7.714
161.05	2715	5.082	7.907	7.703
162.05	2839	5.088	7.951	7.694
163.05	2762	5.094	7.924	7.684
164.05	2684	5.1	7.895	7.675
165.05	2600	5.106	7.863	7.666
166.05	2600	5.112	7.863	7.656
167.05	2530	5.118	7.836	7.647
168.05	2629	5.124	7.874	7.638
169.05	2815	5.13	7.943	7.629
170.05	2513	5.136	7.829	7.619
171.05	2502	5.142	7.825	7.610
172.05	2506	5.148	7.826	7.601
173.05	2394	5.154	7.781	7.591
174.05	2468	5.159	7.811	7.584
175.05	2398	5.165	7.782	7.574
176.05	2385	5.171	7.777	7.565
177.05	2385	5.176	7.777	7.557
178.05	2318	5.182	7.748	7.548
179.05	2376	5.188	7.773	7.539
180.05	2330	5.193	7.754	7.531
181.05	2288	5.199	7.735	7.522
182.05	2281	5.204	7.732	7.514
183.05	2237	5.21	7.713	7.505
184.05	2265	5.215	7.725	7.497
185.05	2215	5.221	7.703	7.487
186.05	2173	5.226	7.684	7.480
187.05	2242	5.231	7.715	7.472
188.05	2182	5.237	7.688	7.463
189.05	2170	5.242	7.682	7.455
190.05	2107	5.247	7.653	7.447
191.05	2071	5.253	7.636	7.438
192.05	2063	5.258	7.632	7.430
193.05	1980	5.263	7.591	7.422
194.05	2102	5.268	7.651	7.415
195.05	2032	5.273	7.617	7.407
196.05	2008	5.278	7.605	7.399
197.05	2009	5.283	7.605	7.391
198.05	2062	5.289	7.631	7.382
199.05	2047	5.294	7.624	7.374
200.05	1889	5.299	7.544	7.367
201.05	2013	5.304	7.607	7.359
202.05	1909	5.309	7.554	7.351
203.05	1912	5.313	7.556	7.345
