constraining	000000136	000001
constraint	000122235	000001
constraints	000012347	000001
construction	111123356	000001
contact	000012346	000001
contacts	000013567	000011
containing	322223456	000011
content	001125656	000111
continuous	000112357	000011
continuum	012245567	000111
contribution	233345667	000111
contributions	233455677	001111
control	000000247	000001
controlled	000011248	000001
controlling	000001346	000001
convection	000135775	000111
convective	001232443	000010
convergence	021134343	000000
conversion	121123457	000011
coo	000000136	000001
cooled	000123654	000011
cooling	000013558	000011
cooper	000012147	000001
cooperative	023232557	000011
coordinate	122334465	000011
coordinates	111232464	000010
copolymer	000002465	000011
copper	453357544	100100
core	012234558	000111
corrected	000024525	000101
correction	011223436	000001
corrections	122234667	000111
correlated	000124568	000011
correlation	222245768	000111
correlations	111123568	000011
correspondence	000011366	000011
cosmic	110123456	000011
cosmological	000112367	000011
cosmologies	010122474	000011
cosmology	000012357	000011
couette	000133336	000001
coulomb	122236778	000111
counting	101101147	000001
coupled	000113568	000011
coupling	111123458	000011
couplings	111013656	000011
covalent	221223224	000001
covariant	112143457	000011
coverage	000146564	000111
covered	010234643	000110
cp	100123466	000011
cpt	010001374	000010
cr	242246768	000111
crack	000001325	000001
creation	011123555	000011
creep	000017643	000110
criterion	000122355	000011
critical	123356778	000111
criticality	000013357	000011
cross	466656668	111111
crossed	210143557	000111
crossing	452123456	100011
crossover	000113457	000011
crystal	111135568	000111
crystalline	111234577	000111
crystallization	000122667	000011
crystals	232245788	000111
cs	233335777	000111
cu	000148754	000111
cubic	333345668	000111
cucl	133424534	000101
cugeo	000000720	000000
cummings	000016212	000100
cuo	000037554	000111
cuprate	000001347	000001
cuprates	000002575	000011
curie	431113456	000011
current	321113458	000011
currents	333124467	000011
curvature	000022446	000011
curve	142123355	000011
curved	002133335	000001
curves	122135566	000111
cutoff	111102247	000001
cycle	000000347	000001
cyclotron	343255543	000100
cylinder	000102346	000011
cylinders	010011356	000011
cylindrical	000123458	000011
d	222234678	000111
damage	211013345	000001
damped	011165534	000110
damping	222233667	000011
dark	000000126	000001
data	011113468	000011
dc	011134546	000111
de	211123477	000011
debye	211334455	000111
decay	443345667	000111
decaying	000011347	000001
decays	212123568	000011
decoherence	000000147	000001
decomposition	000245866	000111
deconfinement	000031147	000001
decoupling	011202356	000011
deep	065677767	011111
deeply	001110366	000011
defect	011256667	000111
defects	011235777	000111
deficient	000113424	000000
deformation	011122346	000001
deformations	011112446	000011
deformed	121134467	000011
degeneracy	221112355	000011
degenerate	211234476	000111
degree	000011146	000001
degrees	001124446	000101
delay	000011466	000011
delayed	000113345	000011
delocalization	000013355	000011
demonstration	000011237	000001
dendritic	000064634	000100
dense	001234467	000111
densities	144566777	011111
density	001234568	000011
dependence	233457778	001111
dependent	011223468	000011
dephasing	000011257	000011
depinning	000013464	000011
depletion	000011445	000011
depolarization	222325234	000001
deposited	000125545	000111
deposition	000025666	000111
depth	000024656	000111
der	112133467	000011
derivation	232565556	001111
derivative	001122234	000001
derived	101234555	000011
description	011134668	000111
design	000000136	000001
desorption	001457664	001110
destruction	021133557	000111
detachment	112235653	000110
detailed	001112354	000010
detected	001146565	000111
detecting	000010236	000001
detection	000022258	000001
detector	000012236	000001
detectors	000011247	000001
determination	333356667	001111
determined	121226645	000111
determining	011013436	000001
deterministic	000013357	000011
deuterium	343566664	001111
deuteron	664676666	111111
deuterons	644212110	100000
development	001231236	000001
deviations	142333246	000001
device	000011236	000001
devices	000001248	000001
diagonal	013322566	000011
diagonalization	000024545	000111
diagram	000124578	000011
diagrams	012233556	000011
diamagnetic	121135434	000100
diamond	110115656	000111
diatomic	132235637	000111
dichroism	000005866	000111
