word,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009
alloys,0,6,40,67,25,100,40,70,54,56,29,33,20,28,28,39,21,17,33,60,70,41,58,81,78,48,58,67,71,90,58,35,47,54,43,45,43,48,43,60,62,71,41,41,50
aln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,7,0,7,0,7,14,21,50,92,57,42,85,64,50,85,42,92,92,71,100,50
alpha,75,100,100,82,65,82,55,55,65,55,44,68,31,55,27,58,37,75,75,65,58,31,37,44,20,34,27,62,48,75,27,31,6,3,6,17,3,13,6,24,10,17,0,6,0
alphen,26,100,47,52,31,47,42,26,57,5,26,15,42,31,15,0,0,15,26,10,21,5,5,10,26,10,15,47,21,10,10,10,10,26,31,26,42,47,10,42,47,10,15,26,36
alternating,0,0,5,11,0,5,0,5,5,0,0,0,0,11,22,0,0,5,5,11,22,5,11,22,22,11,22,44,33,38,33,11,50,72,50,50,50,61,77,100,100,88,88,83,50
alternative,0,4,4,4,8,12,0,8,12,12,25,8,25,12,16,25,16,8,25,8,25,20,16,33,29,41,37,45,16,41,45,54,29,29,58,37,70,37,58,45,54,70,100,50,66
aluminum,40,43,66,36,56,93,100,33,66,23,23,43,53,13,33,46,36,33,50,26,56,23,26,50,36,10,26,26,43,60,0,13,33,23,40,13,26,73,10,30,63,26,43,56,43
amorphization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,16,25,50,33,66,50,33,58,83,100,91,66,66,41,50,75,33,75,25,91,83,50,66,50,66
amorphous,0,0,5,4,9,14,20,26,37,29,23,24,38,43,43,53,63,62,74,64,70,71,88,97,100,73,82,66,86,82,69,85,64,64,62,70,72,71,59,54,63,55,55,63,58
amplification,11,22,18,11,7,25,3,3,22,11,14,0,14,11,11,3,7,14,3,7,7,33,18,22,37,33,44,62,70,62,66,74,62,77,66,62,51,74,70,70,74,100,70,74,59
