bootstrap	27.68	53.91	88.24	30.7
born	0	60.87	52.95	0
boron	63.3	62.54	35.3	62.78
bose	0	96.3	64.71	0
boson	70.26	79.61	52.95	78.42
bosonic	43.27	65.07	58.83	43.93
bosons	55.68	72.38	35.3	57.02
bottom	44.05	59.59	58.83	45.26
bound	56.84	74.5	47.06	62.93
boundaries	63.79	62.66	70.59	63.38
boundary	73.92	67.87	70.59	72.89
bounded	27.68	46.15	23.53	28.45
bounds	46.16	62.49	47.06	47.83
box	36.42	61.43	58.83	37.61
bragg	0	56.28	47.06	0
branching	58.52	71.19	23.53	58.07
brane	60.84	68.67	82.36	60.04
branes	34.93	61.54	82.36	45.58
breakdown	37.1	63.38	23.53	44.61
breaking	85.43	77.54	35.3	84.53
breakup	43.67	63.4	47.06	48.33
breathing	45.83	55.99	35.3	44.94
bremsstrahlung	47.39	63.93	47.06	52.49
bright	30.21	57.7	88.24	37.61
brillouin	0	68.56	64.71	0
broad	30.21	43.18	17.65	33.46
broadband	33.25	53.08	41.18	35
broadened	27.68	57.92	47.06	37.01
broadening	52.4	62.46	47.06	57.14
broken	54.89	64.8	64.71	63.6
brownian	0	62.74	35.3	0
bubble	42.85	61.92	35.3	44.61
bubbles	32.32	54.21	41.18	34.25
bulk	52	72.11	47.06	64.3
bundles	50.02	62.95	88.24	50.99
burning	58.4	49.52	64.71	57.5
bursts	46.79	56.66	64.71	46.75
ca	8.73	81.95	52.95	28.45
cabibbo	0	59.35	47.06	0
cacu	0	81.5	52.95	0
cadmium	29.01	46.94	76.48	30.7
caf	0	55.67	76.48	0
calcium	41.05	56.66	76.48	40.25
calculated	41.05	61.2	35.3	44.94
calculating	52.79	58.53	58.83	52.49
calculation	65.29	78.33	52.95	66.18
calculations	77.47	82.62	47.06	78.47
calorimetric	29.01	53.08	58.83	29.62
canonical	44.05	61.33	47.06	43.93
capacitance	20.28	59.37	47.06	41.17
capacity	65.64	63.22	52.95	64.43
capillary	38.36	56.36	58.83	40.25
capture	78.48	78.38	52.95	78.14
carbide	52.2	53.22	23.53	51.76
carbon	88.38	90.27	76.48	87.07
carlo	8.73	81.89	100	8.56
carrier	50.72	73.05	58.83	61.57
carriers	54.23	62.64	29.42	53.98
carrying	45.83	59.09	41.18	47.03
cascade	44.8	58.81	47.06	46.47
cascades	41.53	49.36	41.18	41.17
casimir	0	74.22	76.48	0
cation	34.12	48.41	58.83	33.46
causality	29.01	47.86	35.3	28.45
caused	24.52	48.1	41.18	34.25
cavities	44.05	68.12	70.59	45.88
cavity	55.05	82.66	76.48	63.01
cd	0	67.76	47.06	0
cds	0	55.94	58.83	0
cdse	0	68.22	35.3	0
cdte	0	64.99	64.71	0
ce	0	73.31	47.06	0
cell	37.74	54.92	58.83	46.18
cells	37.74	50.08	64.71	40.72
cellular	56.41	58.83	82.36	55.32
center	52.6	63.96	64.71	51.76
centered	53.35	54.74	47.06	53.18
centers	39.51	61.37	58.83	50.38
central	51.16	69	29.42	55.6
cerium	32.32	60.68	58.83	38.74
cern	0	70.18	70.59	0
cesium	45.83	62.38	47.06	47.3
cf	0	62.3	52.95	0
cft	0	54.3	88.24	0
ch	8.73	57.05	47.06	8.56
chain	70.26	81.48	41.18	74.57
chains	70.54	79.97	58.83	72.96
change	41.05	60.18	41.18	51.57
changes	51.59	59.3	29.42	61.66
changing	58.4	62.07	35.3	57.96
channel	57.9	71.03	41.18	58.41
channeling	42.85	54.62	35.3	44.61
channels	54.06	75.1	35.3	56.52
chaos	56.7	76.2	41.18	62.31
chaotic	67.73	77.29	64.71	70.55
character	24.52	49.93	17.65	33.46
characteristic	29.01	47.34	58.83	30.7
characteristics	54.06	60.25	58.83	53.98
characterization	33.25	63.79	64.71	42.82
charge	84.98	86.66	52.95	84.9
charged	69.57	77.49	52.95	70.14
charges	46.48	54.8	35.3	46.75
charging	37.74	65.43	52.95	41.6
charm	41.53	64.11	58.83	49.73
charmed	51.38	65.81	94.12	58.07
charmless	45.83	70.96	82.36	53.34
charmonium	39.51	60.78	47.06	43.93
chemical	63.05	66.2	47.06	62.47
chemically	20.28	44.06	29.42	31.69
chemisorbed	29.01	56.26	64.71	37.01
chemisorption	34.93	65.75	52.95	43.57
chern	0	66.19	76.48	0
chiral	69.57	78.69	11.77	71.8
chirality	26.2	56.02	76.48	31.69
chloride	41.05	44.95	41.18	40.25
cholesteric	53.16	61.03	23.53	53.98
chromium	34.93	62.85	70.59	40.25
chromodynamics	67.67	68.33	41.18	66.41
circuit	31.31	59.14	70.59	42.82
circular	69.11	74.97	47.06	69.08
circularly	59.34	55.94	35.3	58.84
cl	0	65.09	64.71	8.56
class	47.68	61.02	35.3	53.34
classical	57.64	83.57	58.83	73.33
classification	17.46	54.37	47.06	24.04
clean	42.43	65.71	64.71	54.59
clock	42.43	53.37	41.18	42.82
cloning	46.79	71.46	94.12	50.99
close	55.37	62.88	41.18	55.32
closed	53.53	61.79	29.42	54.44
cloud	35.7	51.59	41.18	41.17
cluster	62.35	74.43	64.71	69.92
clustering	24.52	56.38	47.06	34.25
clusters	64.18	76.57	58.83	66.3
cm	22.57	47.79	29.42	24.04
cmb	0	65.84	100	0
cn	0	61.17	29.42	0
co	8.73	84.24	52.95	13.57
coalescence	24.52	53.44	82.36	27.14
coarsening	30.21	58.55	76.48	38.19
cobalt	40.56	66.63	58.83	47.3
coefficient	52.4	54.89	58.83	52.67
coefficients	55.83	58.57	58.83	55.32
coexistence	44.8	62.19	47.06	47.03
coherence	52.79	77.68	52.95	62.31
coherent	57.24	84.92	47.06	64.09
coherently	40.56	56.02	41.18	40.25
cohesive	38.94	56.38	35.3	42.02
coincidence	40.56	56.44	47.06	47.03
cold	59.56	71.92	70.59	63.74
collapse	58.02	67.66	58.83	58.3
collective	60.32	74.94	52.95	62.47
collider	51.38	68.6	76.48	50.59
colliders	67.31	71.62	70.59	67.19
colliding	40.04	57.81	70.59	41.6
collinear	42.43	54.71	35.3	43.2
collision	49.54	68.15	70.59	52.31
collisional	38.94	61.88	52.95	42.02
collisionless	31.31	49.52	35.3	35
collisions	85.43	88.45	52.95	86.86
colloid	43.27	51.76	58.83	43.57
colloidal	56.41	63.71	70.59	56.52
colloids	41.98	60.23	41.18	41.6
color	49.29	71.65	35.3	53.98
colored	60.32	64.83	64.71	61.23
colossal	55.83	65.94	88.24	54.89
columnar	57.64	66.2	82.36	56.52
combination	46.79	51.76	47.06	46.47
combined	24.52	55.99	29.42	47.3
commensurate	50.49	62.53	64.71	54.74
comment	8.73	72.25	41.18	19.88
comments	8.73	47.28	47.06	8.56
common	20.28	49.36	47.06	22.13
communication	45.5	69.15	88.24	52.67
compact	54.89	70.8	82.36	55.73
comparative	53.16	56.51	64.71	55.46
comparison	44.05	69.28	64.71	52.49
compensated	29.01	43.28	23.53	34.25
compensation	24.52	45.2	52.95	31.69
competing	55.68	63.69	58.83	58.41
competition	27.68	58.51	58.83	31.69
complete	40.56	60.21	41.18	43.57
complex	65.57	72.07	52.95	65.15
complexes	46.16	65.64	35.3	52.84
complexity	26.2	52.9	70.59	35.71
component	52.79	71.78	35.3	55.18
components	26.2	49.73	35.3	37.61
composite	54.06	74.73	58.83	53.83
composites	35.7	55.36	47.06	42.43
composition	30.21	56.33	52.95	40.72
compound	50.49	70.34	58.83	61.4
compounds	65.36	74.14	64.71	64.23
compressed	38.36	51.38	47.06	37.61
compressibility	24.52	51.51	35.3	30.7
compressible	26.2	53.81	23.53	33.46
compression	33.25	51.8	41.18	37.61
compton	8.73	72.91	47.06	8.56
computation	65.71	80.06	76.48	67.13
computational	36.42	50.08	64.71	36.38
computer	58.02	69.34	35.3	57.14
computing	53.53	69.93	76.48	55.46
concentrated	30.21	45.2	64.71	35
concentration	45.83	59.24	52.95	49.73
condensate	46.48	88.27	76.48	52.31
condensates	49.54	90.86	70.59	53.34
condensation	36.42	81.54	58.83	47.3
condensed	56.41	75.3	35.3	56.26
condition	50.94	55.01	47.06	50.17
conditional	24.52	63.29	76.48	27.14
conditions	73.92	67.49	47.06	72.89
conductance	59.34	83.04	70.59	63.31
conducting	50.26	56.69	52.95	49.73
conduction	61.62	69.97	76.48	62.07
conductivity	71.61	75.31	52.95	70.92
conductor	56.12	61.55	41.18	57.26
conductors	52.6	69.12	35.3	57.5
cone	69.82	68.05	58.83	68.85
configuration	61.23	59.41	58.83	60.97
configurations	44.43	54.4	58.83	47.03
confined	46.79	72.83	70.59	62.86
confinement	50.72	73.08	47.06	64.43
confining	38.94	54.04	47.06	38.74
conformal	51.16	60.7	58.83	53.83
conjecture	30.21	50.94	41.18	30.7
conjugated	63.3	64.35	58.83	62.39
connected	41.05	54.92	47.06	40.25
connection	26.2	53.22	29.42	34.25
consequences	22.57	56.56	52.95	30.7
conservation	47.68	60.62	70.59	47.03
conserved	35.7	55.91	64.71	45.26
conserving	33.25	56.1	58.83	35.71
considerations	13.84	49.25	52.95	27.14
consistency	41.05	50.42	64.71	40.25
consistent	76.43	77.27	52.95	75.32
constant	66.24	66.75	52.95	65.71
constants	65.22	64.98	52.95	64.89
constituent	56.84	60.38	23.53	57.14
constrained	32.32	56.38	41.18	41.17
constraining	8.73	53.54	76.48	8.56
constraint	20.28	51.21	41.18	28.45
constraints	40.56	69.2	58.83	51.19
construction	22.57	56.2	52.95	35.71
contact	51.59	66.04	47.06	54.74
contacts	50.02	70.3	41.18	53.83
containing	38.36	55.53	58.83	43.93
content	44.8	53.12	41.18	44.27
continuous	58.15	78.51	70.59	57.02
continuum	44.05	64.94	58.83	56.39
contrast	22.57	43.48	82.36	35
contribution	33.25	63.01	52.95	50.79
contributions	39.51	63.66	29.42	53.34
control	54.4	81.19	82.36	66.18
controlled	48.24	71.68	70.59	52.84
controlling	24.52	62.92	82.36	28.45
convection	63.13	67.89	76.48	62.23
convective	32.32	58.75	29.42	33.46
conventional	24.52	51.34	41.18	33.46
convergence	22.57	51.72	58.83	29.62
conversion	59.11	66.66	35.3	58.3
coo	0	73.19	64.71	0
cooled	50.02	52.09	41.18	49.28
cooling	54.57	69.45	58.83	56.65
cooper	0	57.63	41.18	0
cooperative	24.52	54.95	47.06	29.62
coordinate	44.43	47.47	58.83	45.58
coordinates	37.1	47.14	11.77	37.61
copolymer	42.43	47.92	64.71	41.6
copper	56.7	74.62	52.95	55.87
core	74.27	73.84	47.06	73.36
corrected	46.16	59.54	41.18	48.33
correction	51.38	68.93	41.18	50.99
corrections	63.22	74.04	52.95	63.16
correlated	71.57	77.93	64.71	70.39
correlation	75.68	81.48	58.83	75.23
correlations	59.68	81.19	47.06	66.24
correspondence	45.15	59.83	52.95	46.75
cosmic	66.24	75.81	35.3	66.53
cosmological	66.24	74.82	41.18	65.71
cosmologies	34.12	61.39	23.53	39.77
cosmology	63.95	71.27	64.71	63.67
couette	0	57.83	47.06	0
coulomb	0	80.97	52.95	8.56
counting	50.94	63.79	35.3	50.38
coupled	72.4	88.12	58.83	79.68
coupling	72.56	84.1	70.59	76.18
couplings	46.79	65.82	17.65	50.38
covalent	34.12	58.13	47.06	38.19
covariant	36.42	63.89	52.95	44.27
coverage	37.1	58.59	88.24	42.43
covered	46.16	60.57	41.18	49.28
cp	0	79.94	35.3	0
cpt	0	70.08	41.18	0
cr	0	73.86	64.71	0
crack	34.93	56.59	64.71	36.38
creation	49.29	63.45	35.3	49.05
creep	51.8	65.54	58.83	52.49
criteria	13.84	51.68	41.18	22.13
criterion	29.01	64.22	23.53	32.6
critical	73.37	87.71	47.06	74.86
criticality	60.94	69.97	82.36	59.85
cross	97.26	84.31	76.48	95.59
crossed	47.68	58.2	58.83	53.98
crossing	50.49	56.28	58.83	50.38
crossings	45.5	53.08	64.71	45.58
crossover	47.96	70.73	52.95	55.32
cryptography	51.59	74.06	88.24	51.38
crystal	84.89	82.13	47.06	83.98
crystalline	62.44	68.58	58.83	62.23
crystallization	34.93	53.81	52.95	41.17
crystals	88.6	80.77	58.83	87.17
cs	0	60.28	64.71	0
cu	13.84	94.09	58.83	28.45
cubic	53.35	64.86	64.71	56.77
cucl	0	54.92	47.06	0
cugeo	0	71.57	76.48	0
cummings	0	61.45	94.12	0
cuo	0	86.58	58.83	0
cuprate	70.26	73.91	76.48	69.08
cuprates	49.78	74.45	76.48	50.59
curie	0	61.69	58.83	0
current	65.08	80.94	58.83	67.97
currents	57.24	71.19	52.95	57.96
curvature	30.21	57.47	58.83	39.26
curve	34.93	52.09	58.83	34.25
curved	58.27	60.01	29.42	58.73
curves	47.39	50.89	58.83	46.47
cutoff	17.46	52.13	5.89	29.62
cycle	49.04	63.87	76.48	58.62
cyclic	22.57	53.15	76.48	36.38
cyclotron	66.76	68.02	58.83	65.95
cylinder	27.68	44.06	35.3	32.6
cylinders	27.68	47.6	41.18	34.25
cylindrical	41.53	58.49	35.3	43.57
damage	44.43	46.87	41.18	43.93
damped	40.04	56.1	23.53	46.75
damping	32.32	61.45	70.59	41.6
dark	82.81	82.96	70.59	82.2
data	58.02	69.81	47.06	64.16
dc	46.16	58.41	29.42	53.67
de	67.9	70.24	58.83	66.81
debye	0	48.29	41.18	0
decay	68.57	82.93	52.95	69.92
decaying	31.31	52.01	41.18	40.25
decays	65.08	82.93	35.3	69.4
decoherence	46.79	84.3	82.36	62.55
decomposition	57.11	66.62	29.42	56
deconfinement	39.51	53.61	58.83	42.82
decoupling	35.7	61.2	35.3	36.38
deep	72.44	71.97	52.95	71.07
deeply	44.8	56.51	23.53	47.3
defect	55.83	68.96	58.83	57.62
defects	57.64	73.38	52.95	62.7
deficient	57.51	63.05	47.06	56.77
deformation	46.48	59.2	29.42	45.88
deformations	22.57	47.86	35.3	35.71
deformed	64.41	67.21	29.42	66.36
degeneracy	42.85	58.07	47.06	42.02
degenerate	51.8	67.47	52.95	53.51
degree	47.96	57.98	58.83	47.03
degrees	67.31	52.37	41.18	66.12
delay	56.12	63.23	70.59	60.51
delayed	53.88	59.79	35.3	53.98
delocalization	44.43	60.73	70.59	44.61
demonstration	24.52	64.94	64.71	33.46
dendritic	48.24	61.03	76.48	49.73
dense	56.84	65.3	52.95	61.82
densities	48.51	67.6	64.71	57.26
density	89.99	88.34	64.71	89.44
dependence	75.14	79.7	64.71	77.76
