	0	0	0	0
dr	56.16	38.8	99.93	59.62
draht	0	18.27	99.91	0
drama	0	46.47	99.92	0
dran	26.04	25.64	99.98	26.04
draußen	0	33.8	99.92	0
dreck	0	18.27	99.89	0
dreht	29.41	28.95	99.98	30.11
dreißig	0	18.27	99.95	0
dresden	0	40.12	99.91	0
droge	0	9.13	99.92	0
drogen	0	74.9	99.89	0
drohen	32.53	35.69	99.95	32.53
droht	38.61	64.35	99.93	39.79
druck	0	62.07	99.89	0
drucken	31.98	14.47	99.98	31.98
drängen	0	44.38	99.98	0
drängt	0	46.08	99.86	0
drüben	0	0	99.99	0
drückt	0	23.61	99.98	0
dschungel	0	18.27	99.89	0
duell	0	45.25	99.84	0
duisburg	0	38.8	99.92	0
dumm	30.77	21.21	99.93	30.77
dunkel	22.58	0	99.89	22.58
dunkeln	11.93	9.13	99.92	11.93
dunkle	11.93	28.95	99.87	11.93
durchbruch	0	25.64	99.89	0
durchs	19.46	27.4	99.92	19.46
dänemark	0	32.75	99.93	0
dönhoff	0	21.21	99.99	0
düsseldorf	0	50.46	99.9	0
ebert	0	40.12	99.89	0
ebola	0	60.29	100	0
echo	0	36.54	99.89	0
echt	19.46	18.27	99.93	19.46
eco	0	18.27	100	0
eg	0	14.47	99.98	0
egal	25.01	33.8	99.95	25.01
egon	0	23.61	99.93	0
ehe	21.13	58.39	99.92	23.86
ehemalige	26.99	39.48	99.95	26.99
ehemaligen	33.06	30.34	99.98	39.51
eher	30.77	38.8	99.91	34.51
ehre	0	32.75	99.92	0
ehren	11.93	14.47	99.99	11.93
eigentlich	26.99	40.12	99.89	36.19
einfach	29.41	53.51	99.83	31.39
einheit	0	28.95	100	0
einigung	0	44.38	99.95	0
einsam	15.05	35.69	99.83	22.58
einsame	17.48	23.61	99.89	17.48
einsamkeit	0	28.95	99.91	0
einsatz	0	63.42	99.96	0
einsicht	0	32.75	99.92	0
einst	30.11	33.8	99.95	30.11
eintracht	0	57.58	99.96	0
einzelhandel	0	36.54	99.85	0
einzige	19.46	74.9	99.9	25.01
eis	0	31.6	99.86	0
eisen	0	18.27	99.91	0
eiszeit	0	21.21	99.91	0
el	15.05	18.27	99.89	22.58
elbe	0	27.4	99.93	0
elefanten	0	28.95	99.89	0
elektromobilität	0	46.85	99.99	0
elend	21.13	32.75	99.95	21.13
elite	0	43.43	99.96	0
eltern	0	43.91	99.91	7.52
em	17.48	58.23	99.99	22.58
emanzipation	0	25.64	99.95	0
empfehlen	11.93	25.64	99.95	11.93
empfiehlt	15.05	44.38	99.96	15.05
empörung	0	32.75	99.92	0
endstation	0	0	99.89	0
energie	36.19	48.61	99.89	36.19
energiepolitik	0	53.05	99.95	0
energieversorgung	0	31.6	99.91	0
energiewende	0	57.58	99.99	0
engel	0	27.4	99.9	0
engen	15.05	9.13	99.96	15.05
england	11.93	37.34	99.93	11.93
englands	0	23.61	99.98	0
englische	22.58	40.12	99.95	26.99
enkel	0	25.64	99.95	0
entdecken	21.13	37.34	99.95	23.86
entdeckt	37.97	37.34	99.91	38.61
entdeckung	0	18.27	99.95	0
entscheiden	22.58	47.23	99.91	22.58
entscheidet	100	60.01	100	100
entscheidung	11.93	46.08	99.93	11.93
entscheidungen	0	30.34	99.95	0
entschieden	25.01	23.61	99.95	27.86
entspannung	0	9.13	99.9	0
entsteht	23.86	30.34	99.95	26.99
enttäuscht	0	28.95	99.95	0
entwicklung	0	41.32	99.92	0
entwicklungshilfe	0	43.43	99.91	0
entwicklungsländer	0	27.4	99.91	0
entwicklungspolitik	17.48	30.34	99.92	17.48
enzensberger	0	18.27	99.98	0
epoche	0	9.13	99.93	0
erbe	0	40.12	99.92	0
erben	0	33.8	99.95	0
erdbeben	0	43.43	99.95	0
erde	0	36.54	99.93	0
erdo	0	67.91	100	0
erfahrung	0	18.27	99.93	0
erfahrungen	0	23.61	99.93	0
erfindung	0	25.64	99.93	0
erfolg	11.93	53.96	99.91	11.93
erfolge	0	23.61	99.95	0
erfolgreich	29.41	31.6	99.91	30.11
erforscht	19.46	14.47	99.98	19.46
erfunden	19.46	14.47	99.98	22.58
